inst_cod;cod_jor
07H01291;1
07H01291;2
07H00403;1
07H00403;2
07H00411;1
07H00411;3
07H00410;1
07H00410;2
07H01413;1
07H01413;2
07H01419;2
07H01419;3
07H01420;1
07H01420;2
07H01421;1
07H01421;2
07H01422;1
07H01422;2
07H01433;2
07H01433;3
07H00498;1
07H00498;2
07H00503;1
07H00503;2
07H00506;1
07H00506;3
07H00538;2
07H00538;3
07H00596;1
07H00596;2
07H00609;1
07H00609;2
07H00617;2
07H00617;3
07H00605;1
07H00605;2
07H00680;2
07H00680;3
07H00626;2
07H00626;3
07H00635;1
07H00635;2
07H00672;1
07H00672;2
07H00738;1
07H00738;2
07H00745;1
07H00745;3
07H00683;2
07H00683;3
07H01328;2
07H01328;3
07H00393;1
07H00393;2
07H00214;1
07H00214;2
07H00215;1
07H00215;3
07H01310;1
07H01310;2
07H01310;3
07H00098;2
07H00098;3
07H00021;1
07H00021;2
07H00045;2
07H00045;3
07H00074;1
07H00074;2
07H00012;1
07H00012;2
07H00029;1
07H00029;2
07H00034;1
07H00034;2
07H00043;1
07H00043;3
07H00057;1
07H00057;2
07H00057;3
07H00002;1
07H00002;2
07H00002;3
07H00274;1
07H00274;2
07H00274;3
07H00295;1
07H00295;2
07H00364;1
07H00364;2
07H00316;1
07H00316;2
07H00316;3
07H00324;1
07H00324;2
07H00330;1
07H00330;2
07H00341;1
07H00341;2
07H00363;1
07H00363;2
07H00276;1
07H00276;2
07H00276;3
07H00167;1
07H00167;3
07H00336;1
07H00336;2
07H00336;3
07H00346;1
07H00346;2
07H00346;3
07H00351;2
07H00351;3
07H00200;1
07H00200;2
07H00200;3
07H00185;1
07H00185;2
07H00185;3
07H00186;1
07H00186;2
07H00334;1
07H00334;2
07H00275;1
07H00275;2
07H00280;1
07H00280;2
07H00234;1
07H00234;2
07H00013;1
07H00013;2
07H00143;1
07H00143;2
07H00144;1
07H00144;2
07H00133;1
07H00133;2
07H00162;1
07H00162;2
07H00164;1
07H00164;2
07H00165;1
07H00165;2
07H00170;1
07H00170;2
07H00127;1
07H00127;2
07H00127;3
07H00762;1
07H00762;3
07H01408;2
07H01408;3
07H00770;1
